Fecha,Hora,Generación Nacional,Importación,Exportación,Temperatura
01/01/2017,0,443.46,99.99,0.00,19.5
01/01/2017,1,388.70,110.22,10.00,19.0
01/01/2017,2,344.73,110.13,10.00,18.5
01/01/2017,3,319.11,119.96,20.00,18.0
01/01/2017,4,303.06,120.86,21.00,18.0
01/01/2017,5,302.72,120.87,21.00,18.0
01/01/2017,6,311.86,98.00,28.04,18.0
01/01/2017,7,316.77,98.00,27.98,19.0
01/01/2017,8,321.87,106.28,6.31,21.0
01/01/2017,9,353.22,106.28,6.29,23.5
01/01/2017,10,337.53,146.06,0.00,26.0
01/01/2017,11,353.02,145.90,0.00,28.0
01/01/2017,12,365.04,145.79,0.00,29.0
01/01/2017,13,369.36,145.78,0.00,29.5
01/01/2017,14,354.74,165.87,0.00,30.0
01/01/2017,15,369.49,145.89,0.00,29.5
01/01/2017,16,363.64,157.68,0.00,29.0
01/01/2017,17,415.37,133.00,0.00,27.5
01/01/2017,18,560.75,118.00,0.00,24.5
01/01/2017,19,577.24,118.00,0.00,22.5
01/01/2017,20,555.18,98.00,0.00,22.0
01/01/2017,21,480.29,98.97,0.00,22.5
01/01/2017,22,409.97,108.00,8.24,22.5
01/01/2017,23,364.69,108.00,8.03,22.0
02/01/2017,0,328.31,119.76,10.00,21.5
02/01/2017,1,311.33,119.82,10.00,20.5
02/01/2017,2,304.84,134.78,25.00,19.5
02/01/2017,3,303.20,134.77,25.00,19.0
02/01/2017,4,316.98,134.79,25.00,19.0
02/01/2017,5,349.95,135.07,25.00,18.5
02/01/2017,6,333.80,179.58,10.00,18.0
02/01/2017,7,414.14,170.38,0.00,19.5
02/01/2017,8,503.30,170.47,0.00,22.0
02/01/2017,9,468.78,280.46,0.00,24.0
02/01/2017,10,505.23,280.31,0.00,26.0
02/01/2017,11,537.68,280.29,0.00,28.0
02/01/2017,12,528.10,280.31,0.00,29.5
02/01/2017,13,550.91,280.28,0.00,30.0
02/01/2017,14,568.08,279.99,0.00,30.5
02/01/2017,15,566.08,279.99,0.00,30.5
02/01/2017,16,539.00,279.85,0.00,29.0
02/01/2017,17,536.53,242.42,0.00,27.0
02/01/2017,18,742.99,128.00,0.00,25.0
02/01/2017,19,741.11,128.00,0.00,24.0
02/01/2017,20,690.47,119.08,0.00,23.5
02/01/2017,21,589.52,133.00,0.00,22.5
02/01/2017,22,456.50,169.60,0.00,22.0
02/01/2017,23,401.07,169.92,0.00,21.5
03/01/2017,0,361.63,169.52,0.00,21.0
03/01/2017,1,345.56,169.59,0.00,20.0
03/01/2017,2,335.68,174.54,5.00,19.0
03/01/2017,3,333.53,174.50,5.00,19.0
03/01/2017,4,350.88,169.30,0.00,19.0
03/01/2017,5,383.00,169.34,0.00,19.0
03/01/2017,6,334.90,253.43,0.00,19.0
03/01/2017,7,431.16,238.42,0.00,19.5
03/01/2017,8,518.65,255.34,0.00,21.5
03/01/2017,9,571.15,263.30,0.00,24.0
03/01/2017,10,632.62,241.74,0.00,26.0
03/01/2017,11,649.62,243.45,0.00,27.5
